Region|Country|IncomeGroup|IDA Status|Financial closure year|Financial closure Month|Project name|RelatedNames|Type of PPI|Subtype of PPI|Project status|Primary sector|Secondary sector|Subsector|Segment|Location|ContractPeriod|TerminationYear|PubliclyTraded|StockExchange|MultipleSystems|NumberOfSystems|CaptiveFacility|SharePercent|GovtGrantingContract|TypeOfGovtSupport|InvestmentYear|PercentPrivate|GovtPaymentCommitments|PhysicalAssets|TotalInvestment|CPI Adjusted Investment|GovCashAssist|dateStatusUpdated|CapacityType|Capacity|CapacityYear|Technology|ContractHistory|RelatedProjects|BidCriteria|AwardMethod|NumberOfBids|NumberRenewalBids|Sponsors|MultiLateralSupport|Revenue Source|RenewalBidCriteria|RenewalAwardMethod|DevelopmentStage|CommissioningDate|ProjectGrid|CarbonCredits|FundingYear|PrivateFunding|PublicFunding|GovtFunding|BankLocalFunding|DonorFunding|DebtEquityGrantRatio
East Asia and Pacific|China|Upper middle income|Non-IDA|2011|September|Shandan County Xiuhuamiao Wind Farm Project||Greenfield project|Build, operate, and transfer|Construction|Energy|N/A|Electricity|Electricity generation|Shandan County, Gansu Province|Not Available|Not Available|No|N/A|No||No||Local||2011|100|0|64.19|64.19|65.5|Not Available|9/1/11|MW|49.5|2011|Wind, Onshore|||Not Applicable||Not Applicable|Not Applicable|China Windpower Group Limited (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Financial Closure|2013|National (State Grid)|Yes|2011|12.8|51.4||54.4||80/20
East Asia and Pacific|China|Upper middle income|Non-IDA|2011|March|Shandong Yantai Zhuangzi Runfeng Wind Farm Power Plant||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Qixia, Yantai City of Shandong Province|Not Available|Not Available|No|N/A|No||No||Local||2011|100|0|71.83|71.83|73.3|Not Available|2/1/12|MW|49.5|2011|Wind, Onshore|||Not Applicable||Not Applicable|Not Applicable|Yantai Runfeng New Energy Development Co Ltd (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Financial Closure|2012|National (State Grid)|Yes|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2011|May|Shanghai Chongming Beiyan Wind Farm Project||Greenfield project|Build, operate, and transfer|Construction|Energy|N/A|Electricity|Electricity generation|Chongming County, Shanhai Municipality|Not Available|Not Available|No|N/A|No||No||Local||2011|29|0|77.16|77.16|78.8|Not Available|5/1/11|MW|48|2011|Wind, Onshore|||Not Applicable||Not Applicable|Not Applicable|China Light and Power Ltd. (29% / Hong Kong, China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Financial Closure|2012|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2011|August|Tianchang Gaoyou Lake Wind Farm Project||Greenfield project|Build, operate, and transfer|Construction|Energy|N/A|Electricity|Electricity generation|Gaoyouhu, Tianchang City, Anhui Province|Not Available|Not Available|No|N/A|No||No||Local||2011|100|0|100|100|102.1|Not Available|8/1/11|MW|49.5|2011|Wind, Onshore|||Not Applicable||Not Applicable|Not Applicable|China Windpower Group Limited (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Financial Closure|2011|National (State Grid)|Yes|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2011|July|Tibet Sangri Suntech PV Plant||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Sangri County, Tibet Autonomous Region|Not Available|Not Available|No|N/A|No||No||Local||2011|100|0|38.02|38.02|38.8|Not Available|5/1/12|MW|10|2011|Solar, PV|||Not Available|Competitive bidding|Not Available|Not Applicable|Suntech Power Holdings Co Ltd (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Financial Closure|2011|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2011|February|Tibet Xigaze Linuo PV Plant Project Phase I||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Xigaze (Rigeze), Tibet Autonomous Region|Not Available|Not Available|No|N/A|No||No||Local||2011|100|0|38.05|38.05|38.8|Not Available|7/1/11|MW|10|2011|Solar, PV|||Not Applicable||Not Applicable|Not Applicable|Linuo Group Co Ltd (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Financial Closure|2011|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2011|January|Zhejiang Lanxi Solid Waste Power Plant||Greenfield project|Build, own, and operate|Construction|Energy|N/A|Electricity|Electricity generation|Huangdian Town, Lanxi City of Zhejiang Province|Not Applicable|Not Applicable|No|N/A|No||No||Local||2011|100|0|27.51|27.51|28.1|Not Available|1/1/11|MW|7.5|2011|Waste|||Not Available|Direct negotiation|Not Applicable|Not Applicable|Mizuda Group (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Financial Closure|2012|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2011|February|Zoucheng City UMC 20MW Thin Film PV Power Plant (Phase I)||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Zoucheng City, Shandong Province|25|2036|No|N/A|No||No||Local||2011|100|0|70.9|70.9|72.4|Not Available|12/1/11|MW|20|2011|Solar, PV|||Not Applicable||Not Applicable|Not Applicable|United Microelectronics Corp. (UMC) (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Financial Closure|2011|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|September|Linqu County Solid Waste Power Plant Project||Greenfield project|Build, operate, and transfer|Under development|Energy|N/A|Electricity|Electricity generation|Linqu County, Shandong Province|30|2041|No|N/A|Yes|2|No||Local||2012|100|0|53.49|53.49|53.5|Not Available||MW|Not Available|2012|Waste|||Not Applicable||Not Applicable|Not Applicable|Beijing Sound Environment Industry Group (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Advanced development/ Private Sector Initiated|2013|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|June|Heze Solar Power Platn Project||Greenfield project|Build, operate, and transfer|Under development|Energy|N/A|Electricity|Electricity generation|Heze City, Shandong Province|Not Available|Not Available|No|N/A|No||No||Local||2012|100|0|153.13|153.13|153.1|Not Available||MW|300|2012|Solar, PV|||Not Applicable||Not Applicable|Not Applicable|Shangdong Hezhe Solar Power New Energy Investment Co., Ltd. (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Advanced development/ awarded by government|2012|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|June|Yichun City Hongxing Solar Power Project Phase Two||Greenfield project|Build, operate, and transfer|Under development|Energy|N/A|Electricity|Electricity generation|Yichun City, Heilongjiang Province|Not Available|Not Available|No|N/A|No||No||Local||2012|100|0|1000|1000|1000.0|Not Available||MW|250|2012|Solar, PV|||Not Available|Direct negotiation|Not Applicable|Not Applicable|Hong Kong Renewable Energy JV Co. (100% / Hong Kong, China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Advanced development/ awarded by government|2012|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|August|Guangfeng County Wind Farm Project||Greenfield project|Build, operate, and transfer|Under development|Energy|N/A|Electricity|Electricity generation|Guangfeng County, Jiangxi Province|Not Available|Not Available|No|N/A|No||No||Local||2012|100|0|229.24|229.24|229.2|Not Available||MW|150|2012|Wind, Onshore|||Not Applicable||Not Applicable|Not Applicable|China Windpower Group Limited (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Advanced development/ Private Sector Initiated|2013|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|November|Tongdao Huangshagang Wind Farm Project||Greenfield project|Build, operate, and transfer|Under development|Energy|N/A|Electricity|Electricity generation|Tongdao County, Hunan Province|Not Available|Not Available|No|N/A|No||No||Local||2012|100|0|229.24|229.24|229.2|Not Available||MW|150|2012|Wind, Onshore|||Not Applicable||Not Applicable|Not Applicable|China Windpower Group Limited (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Advanced development/ Private Sector Initiated|2013|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|May|Qunyinggou Hydro Power Station Project||Greenfield project|Build, operate, and transfer|Under development|Energy|N/A|Electricity|Electricity generation|Muli County, Sichuan Province|Not Available|Not Available|No|N/A|No||No||Local||2012|85|0|220.07|220.07|220.1|Not Available||MW|144|2012|Hydro, Large (>50MW)|||Not Available|Competitive negotiation|Not Applicable|Not Applicable|Asia Power (85% / Singapore)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Advanced development/ awarded by government|2013|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|November|Jianghua County Wind Farm Project||Greenfield project|Build, operate, and transfer|Under development|Energy|N/A|Electricity|Electricity generation|Jianghua County, Hunan Province|Not Available|Not Available|No|N/A|No||No||Local||2012|100|0|152.82|152.82|152.8|Not Available|11/1/11|MW|100|2012|Wind, Onshore|||Not Applicable||Not Applicable|Not Applicable|China Windpower Group Limited (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Advanced development/ Private Sector Initiated|2013|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|September|Luotian County Dabie Mount Wind Farm Project||Greenfield project|Build, operate, and transfer|Under development|Energy|N/A|Electricity|Electricity generation|Luotian County, Hubei Province|Not Available|Not Available|No|N/A|No||No||Local||2012|100|0|275.08|275.08|275.1|Not Available||MW|100|2012|Wind, Onshore|||Not Applicable||Not Applicable|Not Applicable|China Windpower Group Limited (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Advanced development/ Private Sector Initiated|2012|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|September|Gansu Wuwei 90MW Solar Power Plant||Greenfield project|Build, operate, and transfer|Under development|Energy|N/A|Electricity|Electricity generation|Wuwei City, Gansu Province|Not Available|Not Available|No|N/A|No||No||Local||2012|100|0|25.98|25.98|26.0|Not Available||MW|90|2012|Solar, PV|||Not Applicable||Not Applicable|Not Applicable|China Windpower Group Limited (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Advanced development/ Private Sector Initiated|2013|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|October|Shandong Dongying Lijin Guohua-CLP Wind Farm Phase IV||Greenfield project|Build, operate, and transfer|Under development|Energy|N/A|Electricity|Electricity generation|Lijin District of Shandong Province|Not Available|Not Available|No|N/A|No||No||Local||2012|100|0|61.13|61.13|61.1|Not Available||MW|50|2012|Wind, Onshore|||Not Applicable||Not Applicable|Not Applicable|China Light and Power Ltd. (49% / Hong Kong, China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Advanced development/ Private Sector Initiated|2013|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|January|China WindPower Gaoyouhu Wind Farm Phase I||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Gaoyouhu, Tianchang City, Anhui Province|Not Available|Not Available|No|N/A|No||No||Local||2012|100|0|64.43|64.43|64.4|0|6/1/12|MW|49.5|2012|Wind, Onshore|||Not Applicable||Not Applicable|Not Applicable|China Windpower Group Limited (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Financial Closure|2012|National (State Grid)|Yes|2012|0|0|0|51.5|0|80/20
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|December|Inner Mongolia Beiyongxinggacha Dongxing Fengying Wind Farm||Greenfield project|Build, operate, and transfer|Under development|Energy|N/A|Electricity|Electricity generation|Beiyongxinggacha, Guribanhuasumu, Inner Mongolia Autonomous Region|Not Available|Not Available|No|N/A|No||No||Local||2012|100|0|Not Available|0|0.0|Not Available||MW|49.5|2012|Wind, Onshore|||Not Applicable||Not Applicable|Not Applicable|Guangdong Dongxing Fengying Wind Power Equipment Co.,Ltd. (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Advanced development/ Private Sector Initiated|2010|National (State Grid)|Yes|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|September|Jilin Baicheng Taobei Guanghua Wind Farm Phase II||Greenfield project|Build, operate, and transfer|Under development|Energy|N/A|Electricity|Electricity generation|Daobao Village of Taobei, Baicheng City of Jilin Province|Not Available|Not Available|No|N/A|No||No||Local||2012|100|0|76.41|76.41|76.4|Not Available||MW|49.5|2012|Wind, Onshore|||Not Available|Direct negotiation|Not Applicable|Not Applicable|Suzhou Guanghua Enterprise Group Co Ltd (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Advanced development/ awarded by government|2011|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|December|Sihong County Wind Farm Project||Greenfield project|Build, operate, and transfer|Under development|Energy|N/A|Electricity|Electricity generation|Sihong County of Suqian City, Jiangsu Province|Not Available|Not Available|No|N/A|No||No||Local||2012|100|Not Available|Not Available|0|0.0|Not Available||MW|49.5|2012|Wind, Onshore|||Not Applicable||Not Applicable|Not Applicable|China Windpower Group Limited (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Advanced development/ Private Sector Initiated|2012|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|June|Binzhou Tiandiyuan Biomass Power Plant||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Binzhou City, Shandong Province|Not Available|Not Available|No|N/A|No||No||Local||2012|100|0|69.57|69.57|69.6|Not Available|12/1/12|MW|48|2012|Biomass|||Not Applicable||Not Applicable|Not Applicable|Shandong Tiandiyuan Industrial Co., Ltd. (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Financial Closure|2012|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|August|Chibi City Liushanhu Town Biomass Power Plant||Greenfield project|Build, operate, and transfer|Construction|Energy|N/A|Electricity|Electricity generation|Liushanhu Town, Chibi City, Hubei Province|Not Available|Not Available|No|N/A|No||No||Local||2012|100|0|51.69|51.69|51.7|Not Available||MW|30|2012|Biomass|||Not Available|Direct negotiation|Not Applicable|Not Applicable|Kaidi Electric Power (100% / China)||Variable payment(s) from the government|Not Applicable|Not Applicable|Financial Closure|2012|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|October|Deâ€™an Biomass Power Plant||Greenfield project|Build, operate, and transfer|Construction|Energy|N/A|Electricity|Electricity generation|De'an County, Jiujiang City, Jiangxi Province|Not Available|Not Available|No|N/A|No||No||Local||2012|100|0|47.5|47.5|47.5|Not Available|12/1/11|MW|30|2012|Biomass|||Not Available|Direct negotiation|Not Applicable|Not Applicable|Kaidi Electric Power (100% / China)||Variable payment(s) from the government|Not Applicable|Not Applicable|Financial Closure|2012|National (State Grid)|Yes|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|March|Pingyang County Jinan Qiquan Biomass Power Plant||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Pingying County, Shandong Province|Not Available|Not Available|No|N/A|No||No||Local||2012|100|0|35.6|35.6|35.6|Not Available|12/1/12|MW|30|2012|Biomass|||Not Applicable||Not Applicable|Not Applicable|Jinan QiQuan Thermoelectricity Co. Ltd. (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Financial Closure|2012|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|October|Yili Zhenfa 30MW PV Plant Phase I||Greenfield project|Build, operate, and transfer|Construction|Energy|N/A|Electricity|Electricity generation|Yili Kazakh Autonomous Prefecture, Xinjiang Uyghur Autonomous Region|Not Available|Not Available|No|N/A|No||No||Local||2012|100|0|63.39|63.39|63.4|Not Available||MW|30|2012|Solar, PV|||Not Applicable||Not Applicable|Not Applicable|Jiangsu Zhenfa Solar Power Technological Development Co., Ltd. (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Financial Closure|2013|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|July|Yongshun County Biomass Power Plant||Greenfield project|Build, operate, and transfer|Construction|Energy|N/A|Electricity|Electricity generation|Yongshun County, Hunan Province|Not Available|Not Available|No|N/A|No||No||Local||2012|100|0|48.65|48.65|48.7|Not Available|9/1/11|MW|30|2012|Biomass|||Not Applicable||Not Applicable|Not Applicable|Kaidi Electric Power (100% / China)||Variable payment(s) from the government|Not Applicable|Not Applicable|Financial Closure|2012|National (State Grid)|Yes|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|April|Yongxin County Biomass Power Plant||Greenfield project|Build, operate, and transfer|Construction|Energy|N/A|Electricity|Electricity generation|Yongxin County, Jiangxin Province|Not Available|Not Available|No|N/A|No||No||Local||2012|100|0|44.37|44.37|44.4|Not Available|12/1/11|MW|30|2012|Biomass|||Not Available|Direct negotiation|Not Applicable|Not Applicable|Kaidi Electric Power (100% / China)||Variable payment(s) from the government|Not Applicable|Not Applicable|Financial Closure|2012|National (State Grid)|Yes|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|February|Anneng Qujialing Biomass Plant||Greenfield project|Build, operate, and transfer|Under development|Energy|N/A|Electricity|Electricity generation|Qujialing of Jingshan county, Jingmen city of Hubei province|Not Available|Not Available|No|N/A|No||No||Local||2012|100|0|44.85|44.85|44.9|Not Available|2/1/12|MW|30|2012|Waste|||Not Applicable||Not Applicable|Not Applicable|Anneng Group (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Advanced development/ awarded by government|2013|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|November|Hebei Cangzhou Xian Nuoya Biomass Power Plant||Greenfield project|Build, operate, and transfer|Under development|Energy|N/A|Electricity|Electricity generation|Xian County, Cangzhou City, Hebei Province|Not Available|Not Available|No|N/A|No||No||Local||2012|100|0|43.25|43.25|43.3|Not Available||MW|30|2012|Biomass|||Not Applicable||Not Applicable|Not Applicable|Hebei Nuoya Energy Co Ltd (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Advanced development/ Private Sector Initiated|2012|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|October|Jiangsu Nantong LDK-Haidong PV Plant||Greenfield project|Build, operate, and transfer|Under development|Energy|N/A|Electricity|Electricity generation|Nantong City, Jiangsu Province|Not Available|Not Available|No|N/A|No||No||Local||2012|100|0|74.88|74.88|74.9|Not Available||MW|30|2012|Solar, PV|||Not Applicable||Not Applicable|Not Applicable|LDK Solar Co Ltd (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Advanced development/ Private Sector Initiated|2012|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|June|Minqin County Biomass Power Plant Project||Greenfield project|Build, operate, and transfer|Under development|Energy|N/A|Electricity|Electricity generation|Minqin County, Gansu Province|Not Available|Not Available|No|N/A|No||No||Local||2012|100|0|45.85|45.85|45.9|Not Available||MW|30|2012|Biomass|||Not Available|Direct negotiation|Not Applicable|Not Applicable|Kaidi Electric Power (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Advanced development/ Private Sector Initiated|2012|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|April|Pingshun County Biomass Power Plant||Greenfield project|Build, operate, and transfer|Under development|Energy|N/A|Electricity|Electricity generation|Pingshun County, Shanxi Province|Not Available|Not Available|No|N/A|No||No||Local||2012|100|0|100.86|100.86|100.9|Not Available|4/1/11|MW|30|2012|Biomass|||Not Applicable||Not Applicable|Not Applicable|Changzhi Yufei Biomass Electricity Generation Company (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Advanced development/ awarded by government|2013|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|July|Yumen City 30MW Biomass Power Plant Project||Greenfield project|Build, operate, and transfer|Under development|Energy|N/A|Electricity|Electricity generation|Yumen City, Gansu Province|Not Available|Not Available|No|N/A|No||No||Local||2012|100|0|48.9|48.9|48.9|Not Available||MW|30|2012|Biomass|||Not Applicable||Not Applicable|Not Applicable|Ningshi Industrial Co., Ltd. (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Advanced development/ Private Sector Initiated|2012|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|December|Yangjiang Hanergy Roof PV Plant Demonstration Project||Greenfield project|Build, operate, and transfer|Construction|Energy|N/A|Electricity|Electricity generation|Yangjiang City, Guangdong Province|Not Available|Not Available|No|N/A|No||No||Local||2012|100|0|12.96|12.96|13.0|Not Available|12/1/12|MW|27|2012|Solar, PV|||Not Available|Direct negotiation|Not Applicable|Not Applicable|Herrel Environmental Protection Industrial Co. Ltd. (100% / China)||Variable payment(s) from the government|Not Applicable|Not Applicable|Financial Closure|2012|National (State Grid)|No|2012||4.3|4.3|4.8||55/45
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|August|Shandong Binzhou Saite Tianying Solid Waste Power Plant||Greenfield project|Build, own, and operate|Under development|Energy|N/A|Electricity|Electricity generation|Binzhou City, Shandong Province|Not Available|Not Available|No|N/A|No||No||Local||2012|100|0|70.3|70.3|70.3|Not Available||MW|24|2012|Waste|||Not Applicable||Not Applicable|Not Applicable|TianYing ST Group (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Advanced development/ Private Sector Initiated|2013|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|March|Baicheng County Ahebulong 1st Cascade Hydropower Station||Greenfield project|Build, operate, and transfer|Construction|Energy|N/A|Electricity|Electricity generation|Baicheng County, Xinjiang Uyghur Autonomous Region|Not Available|Not Available|No|N/A|No||No||Local||2012|100|0|21.08|21.08|21.1|Not Available|9/1/11|MW|15.4|2012|Hydro, Small (<50MW)|||Not Applicable||Not Applicable|Not Applicable|Xinjiang Taisheng Energy Development Co., Ltd. (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Financial Closure|2013|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|July|Gansu Jinchang China Technology PV Plant Phase I||Greenfield project|Build, operate, and transfer|Under development|Energy|N/A|Electricity|Electricity generation|Jinchang City, Gansu Province|25|2036|No|N/A|No||No||Local||2012|100|0|16.81|16.81|16.8|Not Available||MW|5|2012|Solar, PV|||Not Applicable||Not Applicable|Not Applicable|China Technology Solar Power Holdings Limited (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Advanced development/ Private Sector Initiated|2012|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|December|Hebei Hengshui Yingli PV Plant||Greenfield project|Build, operate, and transfer|Under development|Energy|N/A|Electricity|Electricity generation|Hengshui City, Hebei Province|Not Available|Not Available|No|N/A|No||No||Local||2012|100|Not Available|Not Available|0|0.0|Not Available||MW|4|2012|Solar, PV|||Not Applicable||Not Applicable|Not Applicable|Yingli Group (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Advanced development/ Private Sector Initiated|2012|National (State Grid)|No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2012|December|Jiangsu Changzhou Trina PV Plant||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Changzhou, Jiangsu Province|Not Available|Not Available|No|N/A|No||No||Local||2012|100|0|Not Available|0|0.0|Not Available|4/1/13|MW|2|2012|Solar, PV|||Not Applicable||Not Applicable|Not Applicable|Trina Solar Ltd (100% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Financial Closure|2013|National (State Grid)|No|||||||
East Asia and Pacific|Indonesia|Lower middle income|Non-IDA|1994|January|Karaha Bodas Company||Greenfield project|Build, own, and operate|Canceled|Energy|N/A|Electricity|Electricity generation|West Java|30|1998|No|N/A|No||No||..||1994|100|0|380|380|588.9|||MW||1994|Geothermal|||Not Applicable||Not Applicable|Not Applicable|Caithness Energy (40% / Switzerland), Florida Power & Light (40% / United States)|||Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|Indonesia|Lower middle income|Non-IDA|1996|September|Dieng Geothermal Power Plant|Dieng Power Company,|Greenfield project|Build, operate, and transfer|Canceled|Energy|N/A|Electricity|Electricity generation|Dieng|30|2001|No|N/A|No||No||..||1996|100|0|450|450|658.7||8/1/01|MW|400|1996|Geothermal|||Not Applicable||Not Applicable|Not Applicable|CalEnergy (.. / United States), Kiewit SonsInc. (.. / ..)|||Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|Indonesia|Lower middle income|Non-IDA|1996|February|Gunung Salak Geothermal Power Plant|PT Dayabumi Salak Pratama|Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Gunung Salak, West Java|||No|N/A|No||No||Federal||1996|100|0|434|434|635.3|||MW|165|1996|Geothermal|||Not Applicable||Not Applicable|Not Applicable|Chevron (50% / United States), PT Nusamba Geothermal (50% / ..)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Financial Closure||Jamali regional grid|Yes|||||||
East Asia and Pacific|Indonesia|Lower middle income|Non-IDA|1996|February|Gunung Salak Geothermal Power Plant|PT Dayabumi Salak Pratama|Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Gunung Salak, West Java|||No|N/A|No||No||Federal||2009|100|Not Available|Not Available|0|0.0|Not Available||MW|180|2009|Geothermal|||Not Applicable||Not Applicable|Not Applicable|Chevron (50% / United States), PT Nusamba Geothermal (50% / ..)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Financial Closure||Jamali regional grid|Yes|||||||
East Asia and Pacific|Indonesia|Lower middle income|Non-IDA|1997|August|Darajat Geothermal Power Plant||Greenfield project|Build, own, and operate|Operational|Energy|N/A|Electricity|Electricity generation|Derajat|40||No|N/A|No||No||..||1997|100|0|125|125|178.9|||MW|55|1997|Geothermal|||Not Applicable||Not Applicable|Not Applicable|Chevron (95% / United States)|||Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|Indonesia|Lower middle income|Non-IDA|1997|August|Darajat Geothermal Power Plant||Greenfield project|Build, own, and operate|Operational|Energy|N/A|Electricity|Electricity generation|Derajat|40||No|N/A|No||No||..||1999|100|0|125|125|172.3|||MW|145|1999|Geothermal|||Not Applicable||Not Applicable|Not Applicable|Chevron (95% / United States)|||Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|Indonesia|Lower middle income|Non-IDA|1997|August|Darajat Geothermal Power Plant||Greenfield project|Build, own, and operate|Operational|Energy|N/A|Electricity|Electricity generation|Derajat|40||No|N/A|No||No||..||2004|100|0|128|128|155.6|||MW|255|2004|Geothermal|||Not Applicable||Not Applicable|Not Applicable|Chevron (95% / United States)|||Not Applicable|Not Applicable|Financial Closure||||||||||
